Season,Team,Lg,Salary,player_id
2010-11,Sacramento Kings,NBA,"$3,374,640",couside01
2011-12,Sacramento Kings,NBA,"$3,627,720",couside01
2012-13,Sacramento Kings,NBA,"$3,880,800",couside01
2013-14,Sacramento Kings,NBA,"$4,916,974",couside01
2014-15,Sacramento Kings,NBA,"$13,701,250",couside01
2015-16,Sacramento Kings,NBA,"$14,728,844",couside01
2016-17,New Orleans Pelicans,NBA,"$16,957,900",couside01
2017-18,New Orleans Pelicans,NBA,"$18,063,850",couside01
2018-19,Golden State Warriors,NBA,"$5,337,000",couside01
2019-20,Los Angeles Lakers,NBA,"$3,500,000",couside01
2020-21,Houston Rockets,NBA,"$1,620,564",couside01
2020-21,Los Angeles Clippers,NBA,"$455,091",couside01
2021-22,Denver Nuggets,NBA,"$1,138,659",couside01
2021-22,Milwaukee Bucks,NBA,"$607,285",couside01
Career,(may be incomplete),,"$91,910,577",couside01
