Season,Team,Lg,Salary,player_id
1998-99,Toronto Raptors,NBA,"$1,760,000",cartevi01
1999-00,Toronto Raptors,NBA,"$2,267,280",cartevi01
2000-01,Toronto Raptors,NBA,"$2,425,440",cartevi01
2001-02,Toronto Raptors,NBA,"$3,073,032",cartevi01
2002-03,Toronto Raptors,NBA,"$10,067,750",cartevi01
2003-04,Toronto Raptors,NBA,"$11,326,219",cartevi01
2004-05,New Jersey Nets,NBA,"$12,584,688",cartevi01
2005-06,New Jersey Nets,NBA,"$13,843,156",cartevi01
2006-07,New Jersey Nets,NBA,"$15,101,625",cartevi01
2007-08,New Jersey Nets,NBA,"$13,320,000",cartevi01
2008-09,New Jersey Nets,NBA,"$14,724,125",cartevi01
2009-10,Orlando Magic,NBA,"$16,300,000",cartevi01
2010-11,Phoenix Suns,NBA,"$17,300,000",cartevi01
2011-12,Phoenix Suns,NBA,"$4,000,000",cartevi01
2011-12,Dallas Mavericks,NBA,"$3,000,000",cartevi01
2012-13,Dallas Mavericks,NBA,"$3,090,000",cartevi01
2013-14,Dallas Mavericks,NBA,"$3,180,000",cartevi01
2014-15,Memphis Grizzlies,NBA,"$3,911,981",cartevi01
2015-16,Memphis Grizzlies,NBA,"$4,088,091",cartevi01
2016-17,Memphis Grizzlies,NBA,"$4,264,057",cartevi01
2017-18,Sacramento Kings,NBA,"$8,000,000",cartevi01
2018-19,Atlanta Hawks,NBA,"$2,393,887",cartevi01
2019-20,Atlanta Hawks,NBA,"$2,564,753",cartevi01
Career,(may be incomplete),,"$172,586,084",cartevi01
