Season,Team,Lg,Salary,player_id
1998-99,Los Angeles Clippers,NBA,"$653,500",skinnbr01
1999-00,Los Angeles Clippers,NBA,"$843,000",skinnbr01
2000-01,Los Angeles Clippers,NBA,"$901,800",skinnbr01
2001-02,Cleveland Cavaliers,NBA,"$1,483,461",skinnbr01
2002-03,Philadelphia 76ers,NBA,"$637,435",skinnbr01
2003-04,Milwaukee Bucks,NBA,"$1,500,000",skinnbr01
2004-05,Philadelphia 76ers,NBA,"$4,500,000",skinnbr01
2005-06,Sacramento Kings,NBA,"$4,950,000",skinnbr01
2006-07,Milwaukee Bucks,NBA,"$5,400,000",skinnbr01
2007-08,Phoenix Suns,NBA,"$1,108,718",skinnbr01
2008-09,Los Angeles Clippers,NBA,"$1,262,275",skinnbr01
2009-10,Los Angeles Clippers,NBA,"$1,306,455",skinnbr01
2010-11,Milwaukee Bucks,NBA,"$270,436",skinnbr01
2011-12,Memphis Grizzlies,NBA,"$65,446",skinnbr01
Career,(may be incomplete),,"$24,882,526",skinnbr01
