Season,Team,Lg,Salary,player_id
2003-04,Utah Jazz,NBA,"$1,107,960",pavloal01
2004-05,Cleveland Cavaliers,NBA,"$1,191,000",pavloal01
2005-06,Cleveland Cavaliers,NBA,"$1,274,160",pavloal01
2006-07,Cleveland Cavaliers,NBA,"$1,962,206",pavloal01
2007-08,Cleveland Cavaliers,NBA,"$4,250,000",pavloal01
2008-09,Cleveland Cavaliers,NBA,"$4,500,000",pavloal01
2009-10,Minnesota Timberwolves,NBA,"$1,500,000",pavloal01
2009-10,Phoenix Suns,NBA,"$1,250,000",pavloal01
2010-11,Dallas Mavericks,NBA,"$134,863",pavloal01
2010-11,New Orleans Hornets,NBA,"$67,432",pavloal01
2011-12,Boston Celtics,NBA,"$1,223,166",pavloal01
2012-13,Portland Trail Blazers,NBA,"$1,232,713",pavloal01
Career,(may be incomplete),,"$19,693,500",pavloal01
