Season,Team,Lg,Salary,player_id
1995-96,Toronto Raptors,NBA,"$1,345,000",stoudda01
1996-97,Toronto Raptors,NBA,"$1,547,000",stoudda01
1997-98,Toronto Raptors,NBA,"$1,748,760",stoudda01
1998-99,Portland Trail Blazers,NBA,"$9,000,000",stoudda01
1999-00,Portland Trail Blazers,NBA,"$10,125,000",stoudda01
2000-01,Portland Trail Blazers,NBA,"$11,250,000",stoudda01
2001-02,Portland Trail Blazers,NBA,"$12,375,000",stoudda01
2002-03,Portland Trail Blazers,NBA,"$12,375,000",stoudda01
2003-04,Portland Trail Blazers,NBA,"$12,375,000",stoudda01
2004-05,Portland Trail Blazers,NBA,"$12,500,000",stoudda01
2005-06,Memphis Grizzlies,NBA,"$3,750,000",stoudda01
2006-07,Memphis Grizzlies,NBA,"$4,050,000",stoudda01
2007-08,Memphis Grizzlies,NBA,"$4,350,000",stoudda01
2007-08,San Antonio Spurs,NBA,"$556,438",stoudda01
2008-09,Memphis Grizzlies,NBA,"$2,325,000",stoudda01
Career,(may be incomplete),,"$99,672,198",stoudda01
