Season,Team,Lg,Salary,player_id
1990-91,Miami Heat,NBA,"$250,000",daviste01
1991-92,Dallas Mavericks,NBA,"$382,000",daviste01
1992-93,Dallas Mavericks,NBA,"$1,537,000",daviste01
1993-94,Dallas Mavericks,NBA,"$1,200,000",daviste01
1994-95,Dallas Mavericks,NBA,"$1,560,000",daviste01
1995-96,Dallas Mavericks,NBA,"$1,920,000",daviste01
1996-97,Dallas Mavericks,NBA,"$2,300,000",daviste01
1997-98,Washington Wizards,NBA,"$272,250",daviste01
1998-99,Washington Wizards,NBA,"$1,750,000",daviste01
1999-00,Orlando Magic,NBA,"$1,925,000",daviste01
2000-01,Denver Nuggets,NBA,"$923,500",daviste01
Career,(may be incomplete),,"$14,019,750",daviste01
