Season,Team,Lg,Salary,player_id
1987-88,Detroit Pistons,NBA,"$160,000",rodmade01
1988-89,Detroit Pistons,NBA,"$550,000",rodmade01
1990-91,Detroit Pistons,NBA,"$880,000",rodmade01
1991-92,Detroit Pistons,NBA,"$1,075,000",rodmade01
1992-93,Detroit Pistons,NBA,"$2,350,000",rodmade01
1993-94,San Antonio Spurs,NBA,"$2,450,000",rodmade01
1994-95,San Antonio Spurs,NBA,"$2,500,000",rodmade01
1995-96,Chicago Bulls,NBA,"$2,500,000",rodmade01
1996-97,Chicago Bulls,NBA,"$9,000,000",rodmade01
1997-98,Chicago Bulls,NBA,"$4,500,000",rodmade01
1998-99,Los Angeles Lakers,NBA,"$1,000,000",rodmade01
Career,(may be incomplete),,"$26,965,000",rodmade01
