Season,Team,Lg,Salary,player_id
2008-09,Indiana Pacers,NBA,"$1,799,160",rushbr01
2009-10,Indiana Pacers,NBA,"$1,934,160",rushbr01
2010-11,Indiana Pacers,NBA,"$2,069,049",rushbr01
2011-12,Golden State Warriors,NBA,"$2,956,658",rushbr01
2012-13,Golden State Warriors,NBA,"$4,000,000",rushbr01
2013-14,Utah Jazz,NBA,"$4,000,000",rushbr01
2014-15,Golden State Warriors,NBA,"$1,145,685",rushbr01
2015-16,Golden State Warriors,NBA,"$1,270,964",rushbr01
2016-17,Minnesota Timberwolves,NBA,"$3,500,000",rushbr01
2017-18,Portland Trail Blazers,NBA,"$83,129",rushbr01
Career,(may be incomplete),,"$22,758,805",rushbr01
