Season,Team,Lg,Salary,player_id
1990-91,Orlando Magic,NBA,"$725,000",anderni01
1991-92,Orlando Magic,NBA,"$750,000",anderni01
1992-93,Orlando Magic,NBA,"$800,000",anderni01
1993-94,Orlando Magic,NBA,"$2,670,000",anderni01
1994-95,Orlando Magic,NBA,"$3,090,000",anderni01
1995-96,Orlando Magic,NBA,"$3,200,000",anderni01
1996-97,Orlando Magic,NBA,"$3,790,000",anderni01
1997-98,Orlando Magic,NBA,"$4,000,000",anderni01
1998-99,Orlando Magic,NBA,"$3,200,000",anderni01
1999-00,Sacramento Kings,NBA,"$5,051,906",anderni01
2000-01,Sacramento Kings,NBA,"$3,750,000",anderni01
2001-02,Memphis Grizzlies,NBA,"$5,401,906",anderni01
2002-03,Cleveland Cavaliers,NBA,"$6,101,906",anderni01
Career,(may be incomplete),,"$42,530,718",anderni01
