Season,Team,Lg,Salary,player_id
2000-01,Toronto Raptors,NBA,"$898,560",petermo01
2001-02,Toronto Raptors,NBA,"$966,000",petermo01
2002-03,Toronto Raptors,NBA,"$1,033,320",petermo01
2003-04,Toronto Raptors,NBA,"$1,646,079",petermo01
2004-05,Toronto Raptors,NBA,"$4,400,000",petermo01
2005-06,Toronto Raptors,NBA,"$4,550,000",petermo01
2006-07,Toronto Raptors,NBA,"$4,550,000",petermo01
2007-08,New Orleans Hornets,NBA,"$5,356,000",petermo01
2008-09,New Orleans Hornets,NBA,"$5,592,240",petermo01
2009-10,New Orleans Hornets,NBA,"$6,212,960",petermo01
2010-11,Charlotte Bobcats,NBA,"$6,665,000",petermo01
Career,(may be incomplete),,"$41,870,159",petermo01
