Season,Team,Lg,Salary,player_id
1985-86,Portland Trail Blazers,NBA,"$100,000",kerseje01
1987-88,Portland Trail Blazers,NBA,"$190,000",kerseje01
1988-89,Portland Trail Blazers,NBA,"$451,000",kerseje01
1990-91,Portland Trail Blazers,NBA,"$550,000",kerseje01
1991-92,Portland Trail Blazers,NBA,"$561,000",kerseje01
1992-93,Portland Trail Blazers,NBA,"$2,655,000",kerseje01
1993-94,Portland Trail Blazers,NBA,"$2,940,000",kerseje01
1994-95,Portland Trail Blazers,NBA,"$3,608,000",kerseje01
1995-96,Golden State Warriors,NBA,"$255,000",kerseje01
1996-97,Los Angeles Lakers,NBA,"$247,500",kerseje01
1997-98,Seattle SuperSonics,NBA,"$500,000",kerseje01
1998-99,San Antonio Spurs,NBA,"$1,000,000",kerseje01
1999-00,San Antonio Spurs,NBA,"$1,000,000",kerseje01
2000-01,Milwaukee Bucks,NBA,"$1,000,000",kerseje01
Career,(may be incomplete),,"$15,057,500",kerseje01
