Season,Team,Lg,Salary,player_id
1999-00,Denver Nuggets,NBA,"$301,875",bowenry01
2000-01,Denver Nuggets,NBA,"$510,000",bowenry01
2001-02,Denver Nuggets,NBA,"$630,850",bowenry01
2002-03,Denver Nuggets,NBA,"$1,111,111",bowenry01
2003-04,Denver Nuggets,NBA,"$1,250,000",bowenry01
2004-05,Houston Rockets,NBA,"$807,046",bowenry01
2005-06,Houston Rockets,NBA,"$900,498",bowenry01
2006-07,Houston Rockets,NBA,"$998,967",bowenry01
2007-08,New Orleans Hornets,NBA,"$1,033,930",bowenry01
2008-09,New Orleans Hornets,NBA,"$1,141,838",bowenry01
2009-10,Oklahoma City Thunder,NBA,"$209,592",bowenry01
Career,(may be incomplete),,"$8,895,707",bowenry01
