Season,Team,Lg,Salary,player_id
1990-91,Seattle SuperSonics,NBA,"$500,000",barroda01
1991-92,Seattle SuperSonics,NBA,"$500,000",barroda01
1992-93,Seattle SuperSonics,NBA,"$500,000",barroda01
1993-94,Philadelphia 76ers,NBA,"$750,000",barroda01
1994-95,Philadelphia 76ers,NBA,"$937,500",barroda01
1995-96,Boston Celtics,NBA,"$3,300,000",barroda01
1996-97,Boston Celtics,NBA,"$3,400,000",barroda01
1997-98,Boston Celtics,NBA,"$3,400,000",barroda01
1998-99,Boston Celtics,NBA,"$3,500,000",barroda01
1999-00,Boston Celtics,NBA,"$3,500,000",barroda01
2000-01,Detroit Pistons,NBA,"$3,700,000",barroda01
2001-02,Detroit Pistons,NBA,"$1,600,000",barroda01
Career,(may be incomplete),,"$25,587,500",barroda01
