Season,Team,Lg,Salary,player_id
1990-91,Los Angeles Lakers,NBA,"$770,000",divacvl01
1991-92,Los Angeles Lakers,NBA,"$942,000",divacvl01
1992-93,Los Angeles Lakers,NBA,"$3,633,000",divacvl01
1993-94,Los Angeles Lakers,NBA,"$4,133,000",divacvl01
1994-95,Los Angeles Lakers,NBA,"$3,333,300",divacvl01
1995-96,Los Angeles Lakers,NBA,"$3,333,000",divacvl01
1996-97,Charlotte Hornets,NBA,"$4,718,000",divacvl01
1997-98,Charlotte Hornets,NBA,"$4,833,333",divacvl01
1998-99,Sacramento Kings,NBA,"$8,300,000",divacvl01
1999-00,Sacramento Kings,NBA,"$8,837,774",divacvl01
2000-01,Sacramento Kings,NBA,"$9,640,000",divacvl01
2001-02,Sacramento Kings,NBA,"$10,444,642",divacvl01
2002-03,Sacramento Kings,NBA,"$11,248,076",divacvl01
2003-04,Sacramento Kings,NBA,"$12,051,510",divacvl01
2004-05,Los Angeles Lakers,NBA,"$4,903,000",divacvl01
2005-06,Los Angeles Lakers,NBA,"$2,000,000",divacvl01
Career,(may be incomplete),,"$93,120,635",divacvl01
