Season,Team,Lg,Salary,player_id
2004-05,Los Angeles Clippers,NBA,"$3,027,840",livinsh01
2005-06,Los Angeles Clippers,NBA,"$3,254,880",livinsh01
2006-07,Los Angeles Clippers,NBA,"$3,481,920",livinsh01
2007-08,Los Angeles Clippers,NBA,"$4,404,629",livinsh01
2008-09,Memphis Grizzlies,NBA,"$370,000",livinsh01
2009-10,Oklahoma City Thunder,NBA,"$296,695",livinsh01
2010-11,Charlotte Bobcats,NBA,"$3,500,000",livinsh01
2011-12,Milwaukee Bucks,NBA,"$3,500,000",livinsh01
2012-13,Houston Rockets,NBA,"$1,000,000",livinsh01
2012-13,Cleveland Cavaliers,NBA,"$768,720",livinsh01
2012-13,Washington Wizards,NBA,"$256,240",livinsh01
2013-14,Brooklyn Nets,NBA,"$1,272,279",livinsh01
2014-15,Golden State Warriors,NBA,"$5,305,000",livinsh01
2015-16,Golden State Warriors,NBA,"$5,543,725",livinsh01
2016-17,Golden State Warriors,NBA,"$5,782,450",livinsh01
2017-18,Golden State Warriors,NBA,"$7,692,308",livinsh01
2018-19,Golden State Warriors,NBA,"$8,307,692",livinsh01
2019-20,Golden State Warriors,NBA,"$666,667",livinsh01
2020-21,Golden State Warriors,NBA,"$666,667",livinsh01
2021-22,Golden State Warriors,NBA,"$666,667",livinsh01
Career,(may be incomplete),,"$59,764,379",livinsh01
