Season,Team,Lg,Salary,player_id
2007-08,Philadelphia 76ers,NBA,"$1,233,840",smithja02
2008-09,Philadelphia 76ers,NBA,"$1,326,360",smithja02
2009-10,Philadelphia 76ers,NBA,"$1,418,880",smithja02
2010-11,New Orleans Hornets,NBA,"$2,187,913",smithja02
2011-12,New Orleans Hornets,NBA,"$2,500,000",smithja02
2012-13,New Orleans Hornets,NBA,"$2,500,000",smithja02
2013-14,New Orleans Pelicans,NBA,"$2,500,000",smithja02
2014-15,New York Knicks,NBA,"$3,278,000",smithja02
2015-16,Orlando Magic,NBA,"$4,300,000",smithja02
2016-17,Washington Wizards,NBA,"$5,000,000",smithja02
2017-18,Washington Wizards,NBA,"$5,225,000",smithja02
2018-19,New Orleans Pelicans,NBA,"$5,450,000",smithja02
Career,(may be incomplete),,"$36,919,993",smithja02
