Season,Team,Lg,Salary,player_id
2008-09,Milwaukee Bucks,NBA,"$757,000",mbahalu01
2009-10,Milwaukee Bucks,NBA,"$736,420",mbahalu01
2010-11,Milwaukee Bucks,NBA,"$854,389",mbahalu01
2011-12,Milwaukee Bucks,NBA,"$5,000,000",mbahalu01
2012-13,Milwaukee Bucks,NBA,"$4,795,192",mbahalu01
2013-14,Sacramento Kings,NBA,"$4,588,384",mbahalu01
2014-15,Philadelphia 76ers,NBA,"$4,382,576",mbahalu01
2015-16,Los Angeles Clippers,NBA,"$1,270,964",mbahalu01
2016-17,Los Angeles Clippers,NBA,"$2,203,000",mbahalu01
2017-18,Houston Rockets,NBA,"$1,471,382",mbahalu01
2018-19,Los Angeles Clippers,NBA,"$4,320,500",mbahalu01
2019-20,Houston Rockets,NBA,"$289,803",mbahalu01
Career,(may be incomplete),,"$30,669,610",mbahalu01
