Season,Team,Lg,Salary,player_id
1996-97,Charlotte Hornets,NBA,"$220,000",rosema01
1997-98,San Antonio Spurs,NBA,"$272,250",rosema01
1998-99,San Antonio Spurs,NBA,"$425,000",rosema01
1999-00,San Antonio Spurs,NBA,"$2,285,000",rosema01
2000-01,San Antonio Spurs,NBA,"$2,570,000",rosema01
2001-02,San Antonio Spurs,NBA,"$2,285,000",rosema01
2002-03,San Antonio Spurs,NBA,"$4,370,000",rosema01
2003-04,San Antonio Spurs,NBA,"$4,916,250",rosema01
2004-05,San Antonio Spurs,NBA,"$5,462,500",rosema01
2005-06,New York Knicks,NBA,"$6,008,750",rosema01
2006-07,New York Knicks,NBA,"$7,525,397",rosema01
2007-08,New York Knicks,NBA,"$7,101,250",rosema01
2008-09,Oklahoma City Thunder,NBA,"$7,647,500",rosema01
Career,(may be incomplete),,"$51,088,897",rosema01
