Season,Team,Lg,Salary,player_id
1993-94,Los Angeles Lakers,NBA,"$1,100,000",lynchge01
1994-95,Los Angeles Lakers,NBA,"$1,430,000",lynchge01
1995-96,Los Angeles Lakers,NBA,"$1,760,000",lynchge01
1996-97,Vancouver Grizzlies,NBA,"$2,090,000",lynchge01
1997-98,Vancouver Grizzlies,NBA,"$2,115,000",lynchge01
1998-99,Philadelphia 76ers,NBA,"$1,000,000",lynchge01
1999-00,Philadelphia 76ers,NBA,"$2,000,000",lynchge01
2000-01,Philadelphia 76ers,NBA,"$2,200,000",lynchge01
2001-02,Charlotte Hornets,NBA,"$2,400,000",lynchge01
2002-03,New Orleans Hornets,NBA,"$2,600,000",lynchge01
2003-04,New Orleans Hornets,NBA,"$2,800,000",lynchge01
2004-05,New Orleans Hornets,NBA,"$3,000,000",lynchge01
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$3,200,000",lynchge01
Career,(may be incomplete),,"$27,695,000",lynchge01
