Season,Team,Lg,Salary,player_id
1998-99,Orlando Magic,NBA,"$900,000",harprma01
1999-00,Orlando Magic,NBA,"$1,163,760",harprma01
2000-01,Cleveland Cavaliers,NBA,"$1,244,880",harprma01
2001-02,Philadelphia 76ers,NBA,"$1,908,401",harprma01
2002-03,Utah Jazz,NBA,"$4,000,000",harprma01
2003-04,Utah Jazz,NBA,"$4,290,000",harprma01
2004-05,Utah Jazz,NBA,"$4,690,000",harprma01
2005-06,Utah Jazz,NBA,"$5,020,000",harprma01
2006-07,Utah Jazz,NBA,"$6,500,000",harprma01
2007-08,Utah Jazz,NBA,"$6,000,000",harprma01
2008-09,Utah Jazz,NBA,"$6,000,000",harprma01
2009-10,Oklahoma City Thunder,NBA,"$6,500,000",harprma01
Career,(may be incomplete),,"$48,217,041",harprma01
