Season,Team,Lg,Salary,player_id
1990-91,Miami Heat,NBA,"$290,000",colesbi01
1991-92,Miami Heat,NBA,"$212,000",colesbi01
1992-93,Miami Heat,NBA,"$650,000",colesbi01
1993-94,Miami Heat,NBA,"$802,000",colesbi01
1994-95,Miami Heat,NBA,"$902,000",colesbi01
1995-96,Miami Heat,NBA,"$1,002,000",colesbi01
1996-97,Golden State Warriors,NBA,"$1,400,000",colesbi01
1997-98,Golden State Warriors,NBA,"$1,700,000",colesbi01
1998-99,Golden State Warriors,NBA,"$2,000,000",colesbi01
1999-00,Atlanta Hawks,NBA,"$2,300,000",colesbi01
2000-01,Cleveland Cavaliers,NBA,"$2,250,000",colesbi01
2001-02,Cleveland Cavaliers,NBA,"$2,200,000",colesbi01
2002-03,Cleveland Cavaliers,NBA,"$2,400,000",colesbi01
2003-04,Miami Heat,NBA,"$1,070,000",colesbi01
2003-04,Cleveland Cavaliers,NBA,"$1,050,000",colesbi01
Career,(may be incomplete),,"$20,228,000",colesbi01
