Season,Team,Lg,Salary,player_id
2007-08,Houston Rockets,NBA,"$2,910,000",scolalu01
2008-09,Houston Rockets,NBA,"$3,100,667",scolalu01
2009-10,Houston Rockets,NBA,"$3,375,600",scolalu01
2010-11,Houston Rockets,NBA,"$7,775,378",scolalu01
2011-12,Houston Rockets,NBA,"$8,591,793",scolalu01
2012-13,Houston Rockets,NBA,"$5,259,697",scolalu01
2012-13,Phoenix Suns,NBA,"$4,148,510",scolalu01
2013-14,Indiana Pacers,NBA,"$4,508,504",scolalu01
2014-15,Houston Rockets,NBA,"$6,541,000",scolalu01
2014-15,Houston Rockets,NBA,"$6,172,538",scolalu01
2014-15,Indiana Pacers,NBA,"$4,868,499",scolalu01
2015-16,Toronto Raptors,NBA,"$3,000,000",scolalu01
2016-17,Brooklyn Nets,NBA,"$5,000,000",scolalu01
Career,(may be incomplete),,"$65,252,186",scolalu01
