Season,Team,Lg,Salary,player_id
1985-86,Los Angeles Clippers,NBA,"$250,000",cagemi01
1987-88,Los Angeles Clippers,NBA,"$810,000",cagemi01
1988-89,Seattle SuperSonics,NBA,"$810,000",cagemi01
1990-91,Seattle SuperSonics,NBA,"$910,000",cagemi01
1991-92,Seattle SuperSonics,NBA,"$1,390,000",cagemi01
1992-93,Seattle SuperSonics,NBA,"$1,390,000",cagemi01
1993-94,Seattle SuperSonics,NBA,"$1,502,000",cagemi01
1994-95,Cleveland Cavaliers,NBA,"$1,635,000",cagemi01
1995-96,Cleveland Cavaliers,NBA,"$2,126,000",cagemi01
1996-97,Philadelphia 76ers,NBA,"$1,473,000",cagemi01
1997-98,New Jersey Nets,NBA,"$2,055,421",cagemi01
1998-99,New Jersey Nets,NBA,"$2,350,000",cagemi01
1999-00,New Jersey Nets,NBA,"$510,000",cagemi01
Career,(may be incomplete),,"$17,211,421",cagemi01
