Season,Team,Lg,Salary,player_id
1993-94,Dallas Mavericks,NBA,"$2,000,000",jacksji01
1994-95,Dallas Mavericks,NBA,"$2,700,000",jacksji01
1995-96,Dallas Mavericks,NBA,"$3,200,000",jacksji01
1996-97,Dallas Mavericks,NBA,"$3,900,000",jacksji01
1997-98,Philadelphia 76ers,NBA,"$4,600,000",jacksji01
1998-99,Portland Trail Blazers,NBA,"$1,750,000",jacksji01
1999-00,Atlanta Hawks,NBA,"$1,925,000",jacksji01
2000-01,Atlanta Hawks,NBA,"$2,330,000",jacksji01
2001-02,Miami Heat,NBA,"$789,170",jacksji01
2002-03,Sacramento Kings,NBA,"$791,341",jacksji01
2003-04,Houston Rockets,NBA,"$2,200,000",jacksji01
2004-05,Houston Rockets,NBA,"$2,420,000",jacksji01
2005-06,Phoenix Suns,NBA,"$2,640,000",jacksji01
Career,(may be incomplete),,"$31,245,511",jacksji01
