Season,Team,Lg,Salary,player_id
1985-86,Portland Trail Blazers,NBA,"$151,000",portete01
1987-88,Portland Trail Blazers,NBA,"$251,700",portete01
1988-89,Portland Trail Blazers,NBA,"$272,000",portete01
1989-90,Portland Trail Blazers,NBA,"$2,140,000",portete01
1990-91,Portland Trail Blazers,NBA,"$2,000,000",portete01
1991-92,Portland Trail Blazers,NBA,"$1,787,000",portete01
1992-93,Portland Trail Blazers,NBA,"$2,200,000",portete01
1993-94,Portland Trail Blazers,NBA,"$2,500,000",portete01
1994-95,Portland Trail Blazers,NBA,"$2,600,000",portete01
1995-96,Minnesota Timberwolves,NBA,"$1,525,000",portete01
1996-97,Minnesota Timberwolves,NBA,"$1,775,000",portete01
1997-98,Minnesota Timberwolves,NBA,"$2,000,000",portete01
1998-99,Miami Heat,NBA,"$1,000,000",portete01
1999-00,San Antonio Spurs,NBA,"$2,000,000",portete01
2000-01,San Antonio Spurs,NBA,"$2,200,000",portete01
2001-02,San Antonio Spurs,NBA,"$2,400,000",portete01
Career,(may be incomplete),,"$26,801,700",portete01
