Season,Team,Lg,Salary,player_id
2009-10,Memphis Grizzlies,NBA,"$1,009,680",carrode01
2010-11,Houston Rockets,NBA,"$1,085,400",carrode01
2011-12,Utah Jazz,NBA,"$544,331",carrode01
2011-12,Denver Nuggets,NBA,"$289,382",carrode01
2013-14,Atlanta Hawks,NBA,"$2,557,545",carrode01
2014-15,Atlanta Hawks,NBA,"$2,442,455",carrode01
2015-16,Toronto Raptors,NBA,"$13,500,000",carrode01
2016-17,Toronto Raptors,NBA,"$14,200,000",carrode01
2017-18,Brooklyn Nets,NBA,"$14,800,000",carrode01
2018-19,Brooklyn Nets,NBA,"$15,400,000",carrode01
2019-20,San Antonio Spurs,NBA,"$6,842,307",carrode01
2019-20,Houston Rockets,NBA,"$811,447",carrode01
2020-21,San Antonio Spurs,NBA,"$6,119,676",carrode01
2021-22,San Antonio Spurs,NBA,"$1,242,340",carrode01
Career,(may be incomplete),,"$80,844,563",carrode01
