Season,Team,Lg,Salary,player_id
1999-00,Indiana Pacers,NBA,"$857,760",fosteje01
2000-01,Indiana Pacers,NBA,"$922,080",fosteje01
2001-02,Indiana Pacers,NBA,"$986,400",fosteje01
2002-03,Indiana Pacers,NBA,"$1,571,335",fosteje01
2003-04,Indiana Pacers,NBA,"$4,000,000",fosteje01
2004-05,Indiana Pacers,NBA,"$4,500,000",fosteje01
2005-06,Indiana Pacers,NBA,"$5,000,000",fosteje01
2006-07,Indiana Pacers,NBA,"$5,500,000",fosteje01
2007-08,Indiana Pacers,NBA,"$5,500,000",fosteje01
2008-09,Indiana Pacers,NBA,"$5,500,000",fosteje01
2009-10,Indiana Pacers,NBA,"$6,077,500",fosteje01
2010-11,Indiana Pacers,NBA,"$6,655,000",fosteje01
2011-12,Indiana Pacers,NBA,"$3,000,000",fosteje01
Career,(may be incomplete),,"$50,070,075",fosteje01
