Season,Team,Lg,Salary,player_id
1994-95,Denver Nuggets,NBA,"$975,000",roseja01
1995-96,Denver Nuggets,NBA,"$1,268,000",roseja01
1996-97,Indiana Pacers,NBA,"$1,560,000",roseja01
1997-98,Indiana Pacers,NBA,"$1,852,500",roseja01
1998-99,Indiana Pacers,NBA,"$2,145,000",roseja01
1999-00,Indiana Pacers,NBA,"$2,437,500",roseja01
2000-01,Indiana Pacers,NBA,"$9,660,000",roseja01
2001-02,Indiana Pacers,NBA,"$10,865,250",roseja01
2002-03,Chicago Bulls,NBA,"$12,072,500",roseja01
2003-04,Toronto Raptors,NBA,"$13,279,750",roseja01
2004-05,Toronto Raptors,NBA,"$14,487,000",roseja01
2005-06,Toronto Raptors,NBA,"$15,694,250",roseja01
2006-07,New York Knicks,NBA,"$14,601,500",roseja01
2006-07,Phoenix Suns,NBA,"$1,540,000",roseja01
Career,(may be incomplete),,"$102,438,250",roseja01
