Season,Team,Lg,Salary,player_id
1994-95,Portland Trail Blazers,NBA,"$650,000",mckieaa01
1995-96,Portland Trail Blazers,NBA,"$845,000",mckieaa01
1996-97,Portland Trail Blazers,NBA,"$1,040,000",mckieaa01
1997-98,Detroit Pistons,NBA,"$1,235,000",mckieaa01
1998-99,Philadelphia 76ers,NBA,"$1,430,000",mckieaa01
1999-00,Philadelphia 76ers,NBA,"$1,624,000",mckieaa01
2000-01,Philadelphia 76ers,NBA,"$1,818,000",mckieaa01
2001-02,Philadelphia 76ers,NBA,"$4,000,000",mckieaa01
2002-03,Philadelphia 76ers,NBA,"$4,500,000",mckieaa01
2003-04,Philadelphia 76ers,NBA,"$5,000,000",mckieaa01
2004-05,Philadelphia 76ers,NBA,"$5,500,000",mckieaa01
2005-06,Philadelphia 76ers,NBA,"$6,000,000",mckieaa01
2005-06,Los Angeles Lakers,NBA,"$2,500,000",mckieaa01
2006-07,Philadelphia 76ers,NBA,"$5,570,874",mckieaa01
2006-07,Los Angeles Lakers,NBA,"$2,500,000",mckieaa01
2007-08,Philadelphia 76ers,NBA,"$7,000,000",mckieaa01
2007-08,Memphis Grizzlies,NBA,"$750,000",mckieaa01
Career,(may be incomplete),,"$51,962,874",mckieaa01
