Season,Team,Lg,Salary,player_id
1984-85,Phoenix Suns,NBA,"$406,000",edwarja01
1985-86,Phoenix Suns,NBA,"$500,000",edwarja01
1987-88,Detroit Pistons,NBA,"$600,000",edwarja01
1988-89,Detroit Pistons,NBA,"$800,000",edwarja01
1990-91,Detroit Pistons,NBA,"$935,000",edwarja01
1991-92,Los Angeles Clippers,NBA,"$933,000",edwarja01
1992-93,Los Angeles Lakers,NBA,"$1,000,000",edwarja01
1992-93,Los Angeles Clippers,NBA,"$250,000",edwarja01
1993-94,Los Angeles Lakers,NBA,"$1,300,000",edwarja01
1994-95,Portland Trail Blazers,NBA,"$325,000",edwarja01
1995-96,Chicago Bulls,NBA,"$225,000",edwarja01
Career,(may be incomplete),,"$7,274,000",edwarja01
