Season,Team,Lg,Salary,player_id
1987-88,Cleveland Cavaliers,NBA,"$555,500",harpero01
1988-89,Cleveland Cavaliers,NBA,"$605,500",harpero01
1990-91,Los Angeles Clippers,NBA,"$1,365,000",harpero01
1991-92,Los Angeles Clippers,NBA,"$1,650,000",harpero01
1992-93,Los Angeles Clippers,NBA,"$2,220,000",harpero01
1993-94,Los Angeles Clippers,NBA,"$4,000,000",harpero01
1994-95,Chicago Bulls,NBA,"$2,400,000",harpero01
1995-96,Chicago Bulls,NBA,"$3,120,000",harpero01
1996-97,Chicago Bulls,NBA,"$3,840,000",harpero01
1997-98,Chicago Bulls,NBA,"$4,560,000",harpero01
1998-99,Chicago Bulls,NBA,"$5,280,000",harpero01
1999-00,Los Angeles Lakers,NBA,"$2,000,000",harpero01
2000-01,Los Angeles Lakers,NBA,"$2,200,000",harpero01
Career,(may be incomplete),,"$33,796,000",harpero01
