Season,Team,Lg,Salary,player_id
2010-11,Oklahoma City Thunder,NBA,"$2,126,520",aldrico01
2011-12,Oklahoma City Thunder,NBA,"$2,286,000",aldrico01
2012-13,Sacramento Kings,NBA,"$2,445,480",aldrico01
2014-15,New York Knicks,NBA,"$981,084",aldrico01
2015-16,Los Angeles Clippers,NBA,"$1,100,600",aldrico01
2016-17,Minnesota Timberwolves,NBA,"$7,643,979",aldrico01
2017-18,Minnesota Timberwolves,NBA,"$7,300,000",aldrico01
2018-19,Minnesota Timberwolves,NBA,"$685,341",aldrico01
2019-20,Minnesota Timberwolves,NBA,"$685,340",aldrico01
2020-21,Minnesota Timberwolves,NBA,"$685,340",aldrico01
Career,(may be incomplete),,"$25,939,684",aldrico01
