Season,Team,Lg,Salary,player_id
1988-89,Golden State Warriors,NBA,"$700,000",richmmi01
1990-91,Golden State Warriors,NBA,"$850,000",richmmi01
1991-92,Sacramento Kings,NBA,"$950,000",richmmi01
1992-93,Sacramento Kings,NBA,"$1,036,000",richmmi01
1993-94,Sacramento Kings,NBA,"$2,500,000",richmmi01
1994-95,Sacramento Kings,NBA,"$3,000,000",richmmi01
1995-96,Sacramento Kings,NBA,"$3,500,000",richmmi01
1996-97,Sacramento Kings,NBA,"$3,575,000",richmmi01
1997-98,Sacramento Kings,NBA,"$3,000,000",richmmi01
1998-99,Washington Wizards,NBA,"$2,500,000",richmmi01
1999-00,Washington Wizards,NBA,"$10,000,000",richmmi01
2000-01,Washington Wizards,NBA,"$10,000,000",richmmi01
2001-02,Washington Wizards,NBA,"$10,000,000",richmmi01
2001-02,Los Angeles Lakers,NBA,"$1,000,000",richmmi01
Career,(may be incomplete),,"$52,611,000",richmmi01
