Season,Team,Lg,Salary,player_id
1987-88,Cleveland Cavaliers,NBA,"$250,000",curryde01
1988-89,Charlotte Hornets,NBA,"$285,000",curryde01
1990-91,Charlotte Hornets,NBA,"$900,000",curryde01
1991-92,Charlotte Hornets,NBA,"$1,006,000",curryde01
1992-93,Charlotte Hornets,NBA,"$750,000",curryde01
1993-94,Charlotte Hornets,NBA,"$1,040,000",curryde01
1994-95,Charlotte Hornets,NBA,"$1,340,000",curryde01
1995-96,Charlotte Hornets,NBA,"$1,570,000",curryde01
1996-97,Charlotte Hornets,NBA,"$1,830,000",curryde01
1997-98,Charlotte Hornets,NBA,"$3,660,000",curryde01
1998-99,Milwaukee Bucks,NBA,"$1,000,000",curryde01
1999-00,Toronto Raptors,NBA,"$2,100,000",curryde01
2000-01,Toronto Raptors,NBA,"$2,000,000",curryde01
2001-02,Toronto Raptors,NBA,"$2,100,000",curryde01
Career,(may be incomplete),,"$19,831,000",curryde01
