Season,Team,Lg,Salary,player_id
1987-88,Indiana Pacers,NBA,"$254,000",millere01
1988-89,Indiana Pacers,NBA,"$404,000",millere01
1990-91,Indiana Pacers,NBA,"$654,000",millere01
1991-92,Indiana Pacers,NBA,"$3,211,000",millere01
1992-93,Indiana Pacers,NBA,"$3,211,000",millere01
1993-94,Indiana Pacers,NBA,"$3,011,000",millere01
1994-95,Indiana Pacers,NBA,"$3,210,500",millere01
1995-96,Indiana Pacers,NBA,"$3,211,000",millere01
1996-97,Indiana Pacers,NBA,"$11,250,000",millere01
1997-98,Indiana Pacers,NBA,"$9,031,850",millere01
1998-99,Indiana Pacers,NBA,"$6,781,000",millere01
1999-00,Indiana Pacers,NBA,"$9,031,850",millere01
2000-01,Indiana Pacers,NBA,"$10,670,000",millere01
2001-02,Indiana Pacers,NBA,"$12,045,075",millere01
2002-03,Indiana Pacers,NBA,"$12,046,473",millere01
2003-04,Indiana Pacers,NBA,"$5,000,000",millere01
2004-05,Indiana Pacers,NBA,"$5,500,000",millere01
2005-06,Indiana Pacers,NBA,"$6,000,000",millere01
Career,(may be incomplete),,"$104,522,748",millere01
