Season,Team,Lg,Salary,player_id
1985-86,Los Angeles Clippers,NBA,"$575,000",benjabe01
1987-88,Los Angeles Clippers,NBA,"$1,082,000",benjabe01
1988-89,Los Angeles Clippers,NBA,"$1,000,000",benjabe01
1989-90,Los Angeles Clippers,NBA,"$1,100,000",benjabe01
1990-91,Seattle SuperSonics,NBA,"$1,750,000",benjabe01
1991-92,Seattle SuperSonics,NBA,"$2,875,000",benjabe01
1992-93,Seattle SuperSonics,NBA,"$3,175,000",benjabe01
1993-94,New Jersey Nets,NBA,"$3,575,000",benjabe01
1994-95,New Jersey Nets,NBA,"$3,774,600",benjabe01
1995-96,Milwaukee Bucks,NBA,"$3,975,000",benjabe01
1999-00,Cleveland Cavaliers,NBA,"$123,529",benjabe01
Career,(may be incomplete),,"$23,005,129",benjabe01
