Season,Team,Lg,Salary,player_id
1998-99,Houston Rockets,NBA,"$287,500",moblecu01
1999-00,Houston Rockets,NBA,"$385,000",moblecu01
2000-01,Houston Rockets,NBA,"$3,920,000",moblecu01
2001-02,Houston Rockets,NBA,"$4,413,375",moblecu01
2002-03,Houston Rockets,NBA,"$4,903,750",moblecu01
2003-04,Houston Rockets,NBA,"$5,394,125",moblecu01
2004-05,Orlando Magic,NBA,"$5,884,500",moblecu01
2005-06,Los Angeles Clippers,NBA,"$7,200,000",moblecu01
2006-07,Los Angeles Clippers,NBA,"$8,125,000",moblecu01
2007-08,Los Angeles Clippers,NBA,"$8,350,000",moblecu01
2008-09,New York Knicks,NBA,"$9,100,000",moblecu01
2009-10,New York Knicks,NBA,"$9,500,000",moblecu01
Career,(may be incomplete),,"$67,463,250",moblecu01
