Season,Team,Lg,Salary,player_id
1993-94,Denver Nuggets,NBA,"$150,000",rogerro01
1994-95,Denver Nuggets,NBA,"$1,560,000",rogerro01
1995-96,Los Angeles Clippers,NBA,"$1,920,000",rogerro01
1996-97,Los Angeles Clippers,NBA,"$2,280,000",rogerro01
1997-98,Los Angeles Clippers,NBA,"$2,640,000",rogerro01
1998-99,Los Angeles Clippers,NBA,"$3,000,000",rogerro01
1999-00,Phoenix Suns,NBA,"$2,000,000",rogerro01
2000-01,Phoenix Suns,NBA,"$2,200,000",rogerro01
2001-02,Phoenix Suns,NBA,"$2,400,000",rogerro01
2002-03,New Jersey Nets,NBA,"$2,796,000",rogerro01
2003-04,New Jersey Nets,NBA,"$3,075,600",rogerro01
2004-05,New Orleans Hornets,NBA,"$2,700,000",rogerro01
Career,(may be incomplete),,"$26,721,600",rogerro01
