Season,Team,Lg,Salary,player_id
2007-08,Portland Trail Blazers,NBA,"$427,163",mcrobjo01
2008-09,Indiana Pacers,NBA,"$711,517",mcrobjo01
2009-10,Indiana Pacers,NBA,"$825,497",mcrobjo01
2010-11,Indiana Pacers,NBA,"$885,120",mcrobjo01
2011-12,Los Angeles Lakers,NBA,"$3,000,000",mcrobjo01
2012-13,Charlotte Bobcats,NBA,"$3,135,000",mcrobjo01
2013-14,Charlotte Bobcats,NBA,"$2,652,000",mcrobjo01
2014-15,Miami Heat,NBA,"$5,305,000",mcrobjo01
2015-16,Miami Heat,NBA,"$5,543,725",mcrobjo01
2016-17,Miami Heat,NBA,"$5,782,450",mcrobjo01
2017-18,Dallas Mavericks,NBA,"$6,021,175",mcrobjo01
Career,(may be incomplete),,"$34,288,647",mcrobjo01
