Season,Team,Lg,Salary,player_id
1988-89,Sacramento Kings,NBA,"$175,000",delnevi01
1992-93,San Antonio Spurs,NBA,"$920,000",delnevi01
1993-94,San Antonio Spurs,NBA,"$1,195,365",delnevi01
1994-95,San Antonio Spurs,NBA,"$1,471,000",delnevi01
1995-96,San Antonio Spurs,NBA,"$1,747,000",delnevi01
1996-97,San Antonio Spurs,NBA,"$2,023,000",delnevi01
1997-98,San Antonio Spurs,NBA,"$2,298,777",delnevi01
1998-99,Milwaukee Bucks,NBA,"$1,750,000",delnevi01
1999-00,Milwaukee Bucks,NBA,"$1,925,000",delnevi01
2000-01,Golden State Warriors,NBA,"$2,100,000",delnevi01
2001-02,Los Angeles Clippers,NBA,"$2,275,000",delnevi01
Career,(may be incomplete),,"$17,880,142",delnevi01
