Season,Team,Lg,Salary,player_id
2009-10,Sacramento Kings,NBA,"$3,610,080",evansty01
2010-11,Sacramento Kings,NBA,"$3,880,920",evansty01
2011-12,Sacramento Kings,NBA,"$4,151,640",evansty01
2012-13,Sacramento Kings,NBA,"$5,251,825",evansty01
2013-14,New Orleans Pelicans,NBA,"$10,300,000",evansty01
2014-15,New Orleans Pelicans,NBA,"$10,763,500",evansty01
2015-16,New Orleans Pelicans,NBA,"$11,227,000",evansty01
2016-17,Sacramento Kings,NBA,"$10,661,286",evansty01
2017-18,Memphis Grizzlies,NBA,"$3,290,000",evansty01
2018-19,Indiana Pacers,NBA,"$12,400,000",evansty01
Career,(may be incomplete),,"$75,536,251",evansty01
