Season,Team,Lg,Salary,player_id
1991-92,Boston Celtics,NBA,"$525,000",foxri01
1992-93,Boston Celtics,NBA,"$650,000",foxri01
1993-94,Boston Celtics,NBA,"$755,000",foxri01
1994-95,Boston Celtics,NBA,"$1,750,000",foxri01
1995-96,Boston Celtics,NBA,"$1,750,000",foxri01
1996-97,Boston Celtics,NBA,"$1,750,000",foxri01
1997-98,Los Angeles Lakers,NBA,"$1,000,000",foxri01
1998-99,Los Angeles Lakers,NBA,"$1,750,000",foxri01
1999-00,Los Angeles Lakers,NBA,"$3,033,000",foxri01
2000-01,Los Angeles Lakers,NBA,"$3,400,000",foxri01
2001-02,Los Angeles Lakers,NBA,"$3,791,250",foxri01
2002-03,Los Angeles Lakers,NBA,"$4,340,231",foxri01
2003-04,Los Angeles Lakers,NBA,"$4,734,797",foxri01
2004-05,Boston Celtics,NBA,"$4,800,000",foxri01
Career,(may be incomplete),,"$34,029,278",foxri01
