Season,Team,Lg,Salary,player_id
1988-89,Detroit Pistons,NBA,"$100,000",willimi02
1990-91,Indiana Pacers,NBA,"$325,000",willimi02
1991-92,Indiana Pacers,NBA,"$500,000",willimi02
1992-93,Minnesota Timberwolves,NBA,"$1,775,000",willimi02
1993-94,Minnesota Timberwolves,NBA,"$2,075,000",willimi02
1994-95,Minnesota Timberwolves,NBA,"$2,175,000",willimi02
1995-96,Minnesota Timberwolves,NBA,"$2,375,000",willimi02
1996-97,Minnesota Timberwolves,NBA,"$2,475,000",willimi02
1997-98,Minnesota Timberwolves,NBA,"$2,775,000",willimi02
1998-99,Toronto Raptors,NBA,"$2,975,000",willimi02
Career,(may be incomplete),,"$17,550,000",willimi02
