Season,Team,Lg,Salary,player_id
2012-13,Oklahoma City Thunder,NBA,"$2,020,200",lambje01
2013-14,Oklahoma City Thunder,NBA,"$2,111,160",lambje01
2014-15,Oklahoma City Thunder,NBA,"$2,202,000",lambje01
2015-16,Charlotte Hornets,NBA,"$3,034,356",lambje01
2016-17,Charlotte Hornets,NBA,"$6,511,628",lambje01
2017-18,Charlotte Hornets,NBA,"$7,000,000",lambje01
2018-19,Charlotte Hornets,NBA,"$7,488,372",lambje01
2019-20,Indiana Pacers,NBA,"$10,500,000",lambje01
2020-21,Indiana Pacers,NBA,"$10,500,000",lambje01
2021-22,Sacramento Kings,NBA,"$10,500,000",lambje01
Career,(may be incomplete),,"$61,867,716",lambje01
