Season,Team,Lg,Salary,player_id
1991-92,Portland Trail Blazers,NBA,"$130,000",packro01
1992-93,Denver Nuggets,NBA,"$250,000",packro01
1993-94,Denver Nuggets,NBA,"$400,000",packro01
1994-95,Denver Nuggets,NBA,"$1,059,500",packro01
1995-96,Washington Bullets,NBA,"$1,304,000",packro01
1996-97,New Jersey Nets,NBA,"$2,700,000",packro01
1997-98,Dallas Mavericks,NBA,"$3,240,000",packro01
1998-99,Dallas Mavericks,NBA,"$3,780,000",packro01
1999-00,Dallas Mavericks,NBA,"$4,050,000",packro01
2000-01,Denver Nuggets,NBA,"$4,320,000",packro01
2003-04,New Jersey Nets,NBA,"$965,610",packro01
Career,(may be incomplete),,"$22,199,110",packro01
