Season,Team,Lg,Salary,player_id
1994-95,Los Angeles Lakers,NBA,"$1,300,000",jonesed02
1995-96,Los Angeles Lakers,NBA,"$1,600,000",jonesed02
1996-97,Los Angeles Lakers,NBA,"$1,800,000",jonesed02
1997-98,Los Angeles Lakers,NBA,"$2,000,000",jonesed02
1998-99,Charlotte Hornets,NBA,"$2,200,000",jonesed02
1999-00,Charlotte Hornets,NBA,"$2,500,000",jonesed02
2000-01,Miami Heat,NBA,"$8,960,000",jonesed02
2001-02,Miami Heat,NBA,"$10,091,250",jonesed02
2002-03,Miami Heat,NBA,"$11,212,500",jonesed02
2003-04,Miami Heat,NBA,"$12,333,750",jonesed02
2004-05,Miami Heat,NBA,"$13,455,000",jonesed02
2005-06,Memphis Grizzlies,NBA,"$14,576,250",jonesed02
2006-07,Memphis Grizzlies,NBA,"$14,863,778",jonesed02
2006-07,Miami Heat,NBA,"$531,694",jonesed02
2007-08,Dallas Mavericks,NBA,"$1,830,000",jonesed02
2008-09,Indiana Pacers,NBA,"$2,000,000",jonesed02
Career,(may be incomplete),,"$101,254,222",jonesed02
