Season,Team,Lg,Salary,player_id
1990-91,Cleveland Cavaliers,NBA,"$2,640,000",ferryda01
1991-92,Cleveland Cavaliers,NBA,"$2,843,000",ferryda01
1992-93,Cleveland Cavaliers,NBA,"$3,143,000",ferryda01
1993-94,Cleveland Cavaliers,NBA,"$3,543,000",ferryda01
1994-95,Cleveland Cavaliers,NBA,"$4,042,000",ferryda01
1995-96,Cleveland Cavaliers,NBA,"$4,643,000",ferryda01
1996-97,Cleveland Cavaliers,NBA,"$4,643,000",ferryda01
1997-98,Cleveland Cavaliers,NBA,"$4,000,000",ferryda01
1998-99,Cleveland Cavaliers,NBA,"$4,000,000",ferryda01
1999-00,Cleveland Cavaliers,NBA,"$4,000,000",ferryda01
2000-01,San Antonio Spurs,NBA,"$1,200,000",ferryda01
2001-02,San Antonio Spurs,NBA,"$1,000,000",ferryda01
2002-03,San Antonio Spurs,NBA,"$4,546,000",ferryda01
Career,(may be incomplete),,"$44,243,000",ferryda01
