Season,Team,Lg,Salary,player_id
2002-03,Los Angeles Clippers,NBA,"$1,922,520",wilcoch01
2003-04,Los Angeles Clippers,NBA,"$2,066,760",wilcoch01
2004-05,Los Angeles Clippers,NBA,"$2,210,880",wilcoch01
2005-06,Los Angeles Clippers,NBA,"$2,812,239",wilcoch01
2006-07,Seattle SuperSonics,NBA,"$6,250,000",wilcoch01
2007-08,Seattle SuperSonics,NBA,"$6,500,000",wilcoch01
2008-09,New York Knicks,NBA,"$6,750,000",wilcoch01
2009-10,Detroit Pistons,NBA,"$3,000,000",wilcoch01
2010-11,Detroit Pistons,NBA,"$3,000,000",wilcoch01
2011-12,Boston Celtics,NBA,"$3,000,000",wilcoch01
2012-13,Boston Celtics,NBA,"$1,352,181",wilcoch01
Career,(may be incomplete),,"$38,864,580",wilcoch01
