Season,Team,Lg,Salary,player_id
2003-04,Philadelphia 76ers,NBA,"$366,931",greenwi01
2004-05,Philadelphia 76ers,NBA,"$620,046",greenwi01
2006-07,Philadelphia 76ers,NBA,"$2,800,000",greenwi01
2007-08,Philadelphia 76ers,NBA,"$3,094,000",greenwi01
2008-09,Philadelphia 76ers,NBA,"$3,388,000",greenwi01
2009-10,Philadelphia 76ers,NBA,"$3,682,000",greenwi01
2010-11,New Orleans Hornets,NBA,"$3,976,000",greenwi01
2011-12,Atlanta Hawks,NBA,"$1,223,166",greenwi01
2012-13,Los Angeles Clippers,NBA,"$1,475,106",greenwi01
2013-14,Los Angeles Clippers,NBA,"$1,399,507",greenwi01
2014-15,Orlando Magic,NBA,"$1,448,490",greenwi01
Career,(may be incomplete),,"$23,473,246",greenwi01
