Season,Team,Lg,Salary,player_id
2000-01,Miami Heat,NBA,"$316,969",houseed01
2001-02,Miami Heat,NBA,"$465,850",houseed01
2002-03,Miami Heat,NBA,"$637,435",houseed01
2003-04,Los Angeles Clippers,NBA,"$750,000",houseed01
2004-05,Charlotte Bobcats,NBA,"$825,000",houseed01
2004-05,Milwaukee Bucks,NBA,"$563,327",houseed01
2005-06,Phoenix Suns,NBA,"$835,810",houseed01
2006-07,New Jersey Nets,NBA,"$1,400,000",houseed01
2007-08,Boston Celtics,NBA,"$1,500,000",houseed01
2008-09,Boston Celtics,NBA,"$2,650,000",houseed01
2009-10,New York Knicks,NBA,"$2,862,000",houseed01
2010-11,Miami Heat,NBA,"$1,352,181",houseed01
Career,(may be incomplete),,"$14,158,572",houseed01
