Season,Team,Lg,Salary,player_id
1992-93,Sacramento Kings,NBA,"$1,275,000",williwa02
1993-94,Sacramento Kings,NBA,"$1,658,000",williwa02
1994-95,Sacramento Kings,NBA,"$2,040,000",williwa02
1995-96,Sacramento Kings,NBA,"$2,423,000",williwa02
1996-97,Toronto Raptors,NBA,"$247,500",williwa02
1997-98,Toronto Raptors,NBA,"$3,750,000",williwa02
1998-99,Portland Trail Blazers,NBA,"$3,000,000",williwa02
1999-00,Houston Rockets,NBA,"$3,750,000",williwa02
2000-01,Houston Rockets,NBA,"$4,250,000",williwa02
2001-02,Houston Rockets,NBA,"$5,000,000",williwa02
2002-03,Dallas Mavericks,NBA,"$1,030,000",williwa02
Career,(may be incomplete),,"$28,423,500",williwa02
