Season,Team,Lg,Salary,player_id
1997-98,Dallas Mavericks,NBA,"$272,250",ollieke01
1999-00,Philadelphia 76ers,NBA,"$422,235",ollieke01
1999-00,Dallas Mavericks,NBA,"$2,853",ollieke01
2000-01,New Jersey Nets,NBA,"$523,500",ollieke01
2001-02,Chicago Bulls,NBA,"$590,850",ollieke01
2002-03,Milwaukee Bucks,NBA,"$1,000,000",ollieke01
2003-04,Cleveland Cavaliers,NBA,"$2,458,500",ollieke01
2004-05,Philadelphia 76ers,NBA,"$2,704,350",ollieke01
2005-06,Philadelphia 76ers,NBA,"$2,950,200",ollieke01
2006-07,Philadelphia 76ers,NBA,"$3,196,050",ollieke01
2007-08,Philadelphia 76ers,NBA,"$3,441,900",ollieke01
2008-09,Minnesota Timberwolves,NBA,"$1,262,275",ollieke01
2009-10,Oklahoma City Thunder,NBA,"$1,306,455",ollieke01
Career,(may be incomplete),,"$20,131,418",ollieke01
