Season,Team,Lg,Salary,player_id
1996-97,Washington Bullets,NBA,"$247,500",wallabe01
1997-98,Washington Wizards,NBA,"$326,700",wallabe01
1998-99,Washington Wizards,NBA,"$800,000",wallabe01
1999-00,Orlando Magic,NBA,"$893,750",wallabe01
2000-01,Detroit Pistons,NBA,"$4,000,000",wallabe01
2001-02,Detroit Pistons,NBA,"$4,700,000",wallabe01
2002-03,Detroit Pistons,NBA,"$5,200,000",wallabe01
2003-04,Detroit Pistons,NBA,"$5,500,000",wallabe01
2004-05,Detroit Pistons,NBA,"$7,000,000",wallabe01
2005-06,Detroit Pistons,NBA,"$7,500,000",wallabe01
2006-07,Chicago Bulls,NBA,"$16,000,000",wallabe01
2007-08,Cleveland Cavaliers,NBA,"$15,500,000",wallabe01
2008-09,Cleveland Cavaliers,NBA,"$14,500,000",wallabe01
2009-10,Phoenix Suns,NBA,"$10,000,000",wallabe01
2009-10,Detroit Pistons,NBA,"$1,306,445",wallabe01
2010-11,Detroit Pistons,NBA,"$2,080,000",wallabe01
2011-12,Detroit Pistons,NBA,"$2,246,400",wallabe01
Career,(may be incomplete),,"$97,800,795",wallabe01
