Season,Team,Lg,Salary,player_id
2004-05,Boston Celtics,NBA,"$1,407,240",jeffeal01
2005-06,Boston Celtics,NBA,"$1,512,840",jeffeal01
2006-07,Boston Celtics,NBA,"$1,618,320",jeffeal01
2007-08,Minnesota Timberwolves,NBA,"$2,480,885",jeffeal01
2008-09,Minnesota Timberwolves,NBA,"$11,000,000",jeffeal01
2009-10,Minnesota Timberwolves,NBA,"$12,000,000",jeffeal01
2010-11,Utah Jazz,NBA,"$13,000,000",jeffeal01
2011-12,Utah Jazz,NBA,"$14,000,000",jeffeal01
2012-13,Utah Jazz,NBA,"$15,000,000",jeffeal01
2013-14,Charlotte Bobcats,NBA,"$13,500,000",jeffeal01
2014-15,Charlotte Hornets,NBA,"$13,666,667",jeffeal01
2015-16,Charlotte Hornets,NBA,"$13,833,333",jeffeal01
2016-17,Indiana Pacers,NBA,"$10,230,179",jeffeal01
2017-18,Indiana Pacers,NBA,"$9,769,821",jeffeal01
2018-19,Indiana Pacers,NBA,"$4,000,000",jeffeal01
Career,(may be incomplete),,"$137,019,285",jeffeal01
