Season,Team,Lg,Salary,player_id
1994-95,Minnesota Timberwolves,NBA,"$2,100,000",marshdo01
1995-96,Golden State Warriors,NBA,"$2,730,000",marshdo01
1996-97,Golden State Warriors,NBA,"$3,360,000",marshdo01
1997-98,Golden State Warriors,NBA,"$3,990,000",marshdo01
1998-99,Golden State Warriors,NBA,"$4,370,000",marshdo01
1999-00,Golden State Warriors,NBA,"$5,250,000",marshdo01
2000-01,Utah Jazz,NBA,"$5,630,000",marshdo01
2001-02,Utah Jazz,NBA,"$6,510,000",marshdo01
2002-03,Chicago Bulls,NBA,"$4,186,542",marshdo01
2002-03,Utah Jazz,NBA,"$1,000,000",marshdo01
2003-04,Toronto Raptors,NBA,"$4,605,196",marshdo01
2004-05,Toronto Raptors,NBA,"$5,023,850",marshdo01
2005-06,Cleveland Cavaliers,NBA,"$4,799,108",marshdo01
2006-07,Cleveland Cavaliers,NBA,"$5,633,037",marshdo01
2007-08,Seattle SuperSonics,NBA,"$6,016,965",marshdo01
2008-09,Oklahoma City Thunder,NBA,"$5,950,894",marshdo01
2008-09,Philadelphia 76ers,NBA,"$1,262,275",marshdo01
Career,(may be incomplete),,"$72,417,867",marshdo01
