Season,Team,Lg,Salary,player_id
1985-86,Chicago Bulls,NBA,"$225,000",oaklech01
1987-88,Chicago Bulls,NBA,"$465,000",oaklech01
1988-89,New York Knicks,NBA,"$1,000,000",oaklech01
1989-90,New York Knicks,NBA,"$1,000,000",oaklech01
1990-91,New York Knicks,NBA,"$1,050,000",oaklech01
1991-92,New York Knicks,NBA,"$1,050,000",oaklech01
1992-93,New York Knicks,NBA,"$1,050,000",oaklech01
1993-94,New York Knicks,NBA,"$1,950,000",oaklech01
1994-95,New York Knicks,NBA,"$2,200,000",oaklech01
1995-96,New York Knicks,NBA,"$2,400,000",oaklech01
1996-97,New York Knicks,NBA,"$2,600,000",oaklech01
1997-98,New York Knicks,NBA,"$2,850,000",oaklech01
1998-99,Toronto Raptors,NBA,"$10,186,000",oaklech01
1999-00,Toronto Raptors,NBA,"$5,236,000",oaklech01
2000-01,Toronto Raptors,NBA,"$5,760,000",oaklech01
2001-02,Chicago Bulls,NBA,"$6,545,000",oaklech01
2002-03,Washington Wizards,NBA,"$1,030,000",oaklech01
Career,(may be incomplete),,"$46,597,000",oaklech01
