Season,Team,Lg,Salary,player_id
1998-99,Portland Trail Blazers,NBA,"$1,100,000",wellsbo01
1999-00,Portland Trail Blazers,NBA,"$1,428,720",wellsbo01
2000-01,Portland Trail Blazers,NBA,"$1,528,440",wellsbo01
2001-02,Portland Trail Blazers,NBA,"$2,028,239",wellsbo01
2002-03,Portland Trail Blazers,NBA,"$6,300,000",wellsbo01
2003-04,Memphis Grizzlies,NBA,"$7,000,000",wellsbo01
2004-05,Memphis Grizzlies,NBA,"$7,700,000",wellsbo01
2005-06,Sacramento Kings,NBA,"$8,000,000",wellsbo01
2006-07,Houston Rockets,NBA,"$2,115,000",wellsbo01
2007-08,New Orleans Hornets,NBA,"$2,284,200",wellsbo01
Career,(may be incomplete),,"$39,484,599",wellsbo01
