Season,Team,Lg,Salary,player_id
1999-00,Miami Heat,NBA,"$385,000",cartean01
2000-01,Miami Heat,NBA,"$1,200,000",cartean01
2001-02,Miami Heat,NBA,"$3,250,000",cartean01
2002-03,Miami Heat,NBA,"$3,656,250",cartean01
2003-04,San Antonio Spurs,NBA,"$751,179",cartean01
2004-05,Minnesota Timberwolves,NBA,"$807,546",cartean01
2005-06,Minnesota Timberwolves,NBA,"$900,498",cartean01
2007-08,Denver Nuggets,NBA,"$1,103,225",cartean01
2008-09,Denver Nuggets,NBA,"$1,147,533",cartean01
2009-10,Denver Nuggets,NBA,"$1,306,455",cartean01
2010-11,New York Knicks,NBA,"$1,352,181",cartean01
2011-12,Toronto Raptors,NBA,"$1,352,181",cartean01
Career,(may be incomplete),,"$17,212,048",cartean01
