Season,Team,Lg,Salary,player_id
1993-94,Philadelphia 76ers,NBA,"$2,700,000",bradlsh01
1994-95,Philadelphia 76ers,NBA,"$3,510,000",bradlsh01
1995-96,New Jersey Nets,NBA,"$4,320,000",bradlsh01
1996-97,New Jersey Nets,NBA,"$5,130,000",bradlsh01
1997-98,Dallas Mavericks,NBA,"$5,940,000",bradlsh01
1998-99,Dallas Mavericks,NBA,"$6,750,000",bradlsh01
1999-00,Dallas Mavericks,NBA,"$7,560,000",bradlsh01
2000-01,Dallas Mavericks,NBA,"$8,370,000",bradlsh01
2001-02,Dallas Mavericks,NBA,"$4,500,000",bradlsh01
2002-03,Dallas Mavericks,NBA,"$4,000,000",bradlsh01
2003-04,Dallas Mavericks,NBA,"$3,500,000",bradlsh01
2004-05,Dallas Mavericks,NBA,"$4,000,000",bradlsh01
2005-06,Dallas Mavericks,NBA,"$4,500,000",bradlsh01
2006-07,Dallas Mavericks,NBA,"$4,800,000",bradlsh01
Career,(may be incomplete),,"$69,580,000",bradlsh01
