Season,Team,Lg,Salary,player_id
1984-85,Milwaukee Bucks,NBA,"$140,000",piercri01
1985-86,Milwaukee Bucks,NBA,"$150,000",piercri01
1987-88,Milwaukee Bucks,NBA,"$225,000",piercri01
1988-89,Milwaukee Bucks,NBA,"$250,000",piercri01
1990-91,Seattle SuperSonics,NBA,"$1,100,000",piercri01
1991-92,Seattle SuperSonics,NBA,"$1,750,000",piercri01
1992-93,Seattle SuperSonics,NBA,"$2,000,000",piercri01
1993-94,Seattle SuperSonics,NBA,"$2,100,000",piercri01
1994-95,Golden State Warriors,NBA,"$2,500,000",piercri01
1995-96,Indiana Pacers,NBA,"$1,000,000",piercri01
1996-97,Denver Nuggets,NBA,"$1,200,000",piercri01
1999-00,Milwaukee Bucks,NBA,"$510,000",piercri01
Career,(may be incomplete),,"$12,925,000",piercri01
