Season,Team,Lg,Salary,player_id
1984-85,Philadelphia 76ers,NBA,"$2,125,000",malonmo01
1985-86,Philadelphia 76ers,NBA,"$2,145,000",malonmo01
1987-88,Washington Bullets,NBA,"$2,067,000",malonmo01
1988-89,Atlanta Hawks,NBA,"$1,500,000",malonmo01
1989-90,Atlanta Hawks,NBA,"$2,100,000",malonmo01
1990-91,Atlanta Hawks,NBA,"$2,406,000",malonmo01
1991-92,Milwaukee Bucks,NBA,"$1,600,000",malonmo01
1992-93,Milwaukee Bucks,NBA,"$2,230,000",malonmo01
1993-94,Philadelphia 76ers,NBA,"$1,200,000",malonmo01
1994-95,San Antonio Spurs,NBA,"$468,750",malonmo01
1994-95,Philadelphia 76ers,NBA,"$300,000",malonmo01
Career,(may be incomplete),,"$18,141,750",malonmo01
