Season,Team,Lg,Salary,player_id
2000-01,Dallas Mavericks,NBA,"$316,969",najered01
2001-02,Dallas Mavericks,NBA,"$465,850",najered01
2002-03,Dallas Mavericks,NBA,"$3,047,620",najered01
2003-04,Dallas Mavericks,NBA,"$3,428,572",najered01
2004-05,Golden State Warriors,NBA,"$3,809,524",najered01
2005-06,Denver Nuggets,NBA,"$4,190,476",najered01
2006-07,Denver Nuggets,NBA,"$4,571,428",najered01
2007-08,Denver Nuggets,NBA,"$4,952,380",najered01
2008-09,New Jersey Nets,NBA,"$3,250,000",najered01
2009-10,Dallas Mavericks,NBA,"$3,100,000",najered01
2010-11,Charlotte Bobcats,NBA,"$3,000,000",najered01
2011-12,Charlotte Bobcats,NBA,"$2,750,000",najered01
Career,(may be incomplete),,"$36,882,819",najered01
