Season,Team,Lg,Salary,player_id
2003-04,Los Angeles Clippers,NBA,"$2,394,600",kamanch01
2004-05,Los Angeles Clippers,NBA,"$2,574,240",kamanch01
2005-06,Los Angeles Clippers,NBA,"$2,753,760",kamanch01
2006-07,Los Angeles Clippers,NBA,"$3,491,768",kamanch01
2007-08,Los Angeles Clippers,NBA,"$8,600,000",kamanch01
2008-09,Los Angeles Clippers,NBA,"$9,500,000",kamanch01
2009-10,Los Angeles Clippers,NBA,"$10,400,000",kamanch01
2010-11,Los Angeles Clippers,NBA,"$11,800,000",kamanch01
2011-12,New Orleans Hornets,NBA,"$14,030,000",kamanch01
2012-13,Dallas Mavericks,NBA,"$8,000,000",kamanch01
2013-14,Los Angeles Lakers,NBA,"$3,183,000",kamanch01
2014-15,Portland Trail Blazers,NBA,"$4,800,000",kamanch01
2015-16,Portland Trail Blazers,NBA,"$5,000,000",kamanch01
Career,(may be incomplete),,"$86,527,368",kamanch01
