Season,Team,Lg,Salary,player_id
1988-89,Seattle SuperSonics,NBA,"$100,000",johnsav01
1990-91,San Antonio Spurs,NBA,"$50,000",johnsav01
1992-93,San Antonio Spurs,NBA,"$140,000",johnsav01
1993-94,Golden State Warriors,NBA,"$300,000",johnsav01
1994-95,San Antonio Spurs,NBA,"$650,000",johnsav01
1995-96,San Antonio Spurs,NBA,"$845,000",johnsav01
1996-97,San Antonio Spurs,NBA,"$1,040,000",johnsav01
1997-98,San Antonio Spurs,NBA,"$3,000,000",johnsav01
1998-99,San Antonio Spurs,NBA,"$3,000,000",johnsav01
1999-00,San Antonio Spurs,NBA,"$3,200,000",johnsav01
2000-01,San Antonio Spurs,NBA,"$8,000,000",johnsav01
2001-02,Denver Nuggets,NBA,"$4,538,000",johnsav01
2002-03,Dallas Mavericks,NBA,"$4,991,800",johnsav01
2003-04,Golden State Warriors,NBA,"$5,445,600",johnsav01
2004-05,Dallas Mavericks,NBA,"$1,100,000",johnsav01
Career,(may be incomplete),,"$36,400,400",johnsav01
